identity_id,canonical_id,platform,account_type,email,display_name,match_method,match_confidence,is_canonical_representative,merged_source_ids
7914c120-c8dc-d19f-3e35-11287900f7f9,7914c120-c8dc-d19f-3e35-11287900f7f9,AD,human,danielle.johnson@corp.nexusai.com,Danielle Johnson,exact_email,100,True,"[""7914c120-c8dc-d19f-3e35-11287900f7f9"", ""1825bc54-30be-b45f-6835-14f2ceb81f9d"", ""5ab33edf-6e59-5ed3-a8b3-17fa18d0752b"", ""dd2467ac-778e-edb3-693d-ffbc6c6fa611""]"
1825bc54-30be-b45f-6835-14f2ceb81f9d,7914c120-c8dc-d19f-3e35-11287900f7f9,AzureAD,human,danielle.johnson@corp.nexusai.com,Danielle Johnson,exact_email,100,False,"[""7914c120-c8dc-d19f-3e35-11287900f7f9"", ""1825bc54-30be-b45f-6835-14f2ceb81f9d"", ""5ab33edf-6e59-5ed3-a8b3-17fa18d0752b"", ""dd2467ac-778e-edb3-693d-ffbc6c6fa611""]"
5ab33edf-6e59-5ed3-a8b3-17fa18d0752b,7914c120-c8dc-d19f-3e35-11287900f7f9,Okta,human,danielle.johnson@corp.nexusai.com,Danielle Johnson,exact_email,100,False,"[""7914c120-c8dc-d19f-3e35-11287900f7f9"", ""1825bc54-30be-b45f-6835-14f2ceb81f9d"", ""5ab33edf-6e59-5ed3-a8b3-17fa18d0752b"", ""dd2467ac-778e-edb3-693d-ffbc6c6fa611""]"
dd2467ac-778e-edb3-693d-ffbc6c6fa611,7914c120-c8dc-d19f-3e35-11287900f7f9,Salesforce,human,danielle.johnson@corp.nexusai.com,Danielle Johnson,exact_email,100,False,"[""7914c120-c8dc-d19f-3e35-11287900f7f9"", ""1825bc54-30be-b45f-6835-14f2ceb81f9d"", ""5ab33edf-6e59-5ed3-a8b3-17fa18d0752b"", ""dd2467ac-778e-edb3-693d-ffbc6c6fa611""]"
a748dbcf-ac61-9e63-0dde-29a6baa4b71a,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,AD,human,joshua.walker@corp.nexusai.com,Joshua Walker,exact_email,100,True,"[""a748dbcf-ac61-9e63-0dde-29a6baa4b71a"", ""0f844fef-1931-e9ee-a56c-0941fbf24050"", ""ccf3a171-56dc-8907-ba6c-34ab6712303a""]"
0f844fef-1931-e9ee-a56c-0941fbf24050,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,AzureAD,human,joshua.walker@corp.nexusai.com,Joshua Walker,exact_email,100,False,"[""a748dbcf-ac61-9e63-0dde-29a6baa4b71a"", ""0f844fef-1931-e9ee-a56c-0941fbf24050"", ""ccf3a171-56dc-8907-ba6c-34ab6712303a""]"
ccf3a171-56dc-8907-ba6c-34ab6712303a,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,Okta,human,joshua.walker@corp.nexusai.com,Joshua Walker,exact_email,100,False,"[""a748dbcf-ac61-9e63-0dde-29a6baa4b71a"", ""0f844fef-1931-e9ee-a56c-0941fbf24050"", ""ccf3a171-56dc-8907-ba6c-34ab6712303a""]"
310c0c00-3fa7-f104-1bf9-0e27dc96925e,310c0c00-3fa7-f104-1bf9-0e27dc96925e,AD,human,jill.rhodes@corp.nexusai.com,Jill Rhodes,exact_email,100,True,"[""310c0c00-3fa7-f104-1bf9-0e27dc96925e"", ""23e2fcb4-72d8-567d-894a-05e430b187ef"", ""766ecb15-474e-bc19-2ef9-12766c006f61"", ""134c6c92-ec5b-227c-dfde-4fbf3ff350bf""]"
23e2fcb4-72d8-567d-894a-05e430b187ef,310c0c00-3fa7-f104-1bf9-0e27dc96925e,AzureAD,human,jill.rhodes@corp.nexusai.com,Jill Rhodes,exact_email,100,False,"[""310c0c00-3fa7-f104-1bf9-0e27dc96925e"", ""23e2fcb4-72d8-567d-894a-05e430b187ef"", ""766ecb15-474e-bc19-2ef9-12766c006f61"", ""134c6c92-ec5b-227c-dfde-4fbf3ff350bf""]"
766ecb15-474e-bc19-2ef9-12766c006f61,310c0c00-3fa7-f104-1bf9-0e27dc96925e,AWS,human,jill.rhodes@corp.nexusai.com,Jill Rhodes,exact_email,100,False,"[""310c0c00-3fa7-f104-1bf9-0e27dc96925e"", ""23e2fcb4-72d8-567d-894a-05e430b187ef"", ""766ecb15-474e-bc19-2ef9-12766c006f61"", ""134c6c92-ec5b-227c-dfde-4fbf3ff350bf""]"
134c6c92-ec5b-227c-dfde-4fbf3ff350bf,310c0c00-3fa7-f104-1bf9-0e27dc96925e,Okta,human,jill.rhodes@corp.nexusai.com,Jill Rhodes,exact_email,100,False,"[""310c0c00-3fa7-f104-1bf9-0e27dc96925e"", ""23e2fcb4-72d8-567d-894a-05e430b187ef"", ""766ecb15-474e-bc19-2ef9-12766c006f61"", ""134c6c92-ec5b-227c-dfde-4fbf3ff350bf""]"
db20a56e-dc81-5fe7-ceda-8bbb71710434,db20a56e-dc81-5fe7-ceda-8bbb71710434,AD,human,patricia.miller@corp.nexusai.com,Patricia Miller,exact_email,100,True,"[""db20a56e-dc81-5fe7-ceda-8bbb71710434"", ""a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3"", ""03c72ba8-d605-e770-8a63-f881ffd0f9d5"", ""c0e9ab30-ed26-62e9-17e0-11b7f8102383""]"
a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3,db20a56e-dc81-5fe7-ceda-8bbb71710434,AzureAD,human,patricia.miller@corp.nexusai.com,Patricia Miller,exact_email,100,False,"[""db20a56e-dc81-5fe7-ceda-8bbb71710434"", ""a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3"", ""03c72ba8-d605-e770-8a63-f881ffd0f9d5"", ""c0e9ab30-ed26-62e9-17e0-11b7f8102383""]"
03c72ba8-d605-e770-8a63-f881ffd0f9d5,db20a56e-dc81-5fe7-ceda-8bbb71710434,AWS,human,patricia.miller@corp.nexusai.com,Patricia Miller,exact_email,100,False,"[""db20a56e-dc81-5fe7-ceda-8bbb71710434"", ""a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3"", ""03c72ba8-d605-e770-8a63-f881ffd0f9d5"", ""c0e9ab30-ed26-62e9-17e0-11b7f8102383""]"
c0e9ab30-ed26-62e9-17e0-11b7f8102383,db20a56e-dc81-5fe7-ceda-8bbb71710434,Salesforce,human,patricia.miller@corp.nexusai.com,Patricia Miller,exact_email,100,False,"[""db20a56e-dc81-5fe7-ceda-8bbb71710434"", ""a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3"", ""03c72ba8-d605-e770-8a63-f881ffd0f9d5"", ""c0e9ab30-ed26-62e9-17e0-11b7f8102383""]"
680ac07a-2a93-5d62-3c83-5dc0d9441fa5,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,AD,human,robert.johnson@corp.nexusai.com,Robert Johnson,exact_email,100,True,"[""680ac07a-2a93-5d62-3c83-5dc0d9441fa5"", ""dd59ba71-36b8-2481-7b3a-4e3e7c52fa17"", ""2a25a888-0f02-bad0-e706-7ef466aa9385"", ""63f2ae24-fc3d-3348-008d-4127610461e3"", ""c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc""]"
dd59ba71-36b8-2481-7b3a-4e3e7c52fa17,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,AzureAD,human,robert.johnson@corp.nexusai.com,Robert Johnson,exact_email,100,False,"[""680ac07a-2a93-5d62-3c83-5dc0d9441fa5"", ""dd59ba71-36b8-2481-7b3a-4e3e7c52fa17"", ""2a25a888-0f02-bad0-e706-7ef466aa9385"", ""63f2ae24-fc3d-3348-008d-4127610461e3"", ""c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc""]"
2a25a888-0f02-bad0-e706-7ef466aa9385,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,AWS,human,robert.johnson@corp.nexusai.com,Robert Johnson,exact_email,100,False,"[""680ac07a-2a93-5d62-3c83-5dc0d9441fa5"", ""dd59ba71-36b8-2481-7b3a-4e3e7c52fa17"", ""2a25a888-0f02-bad0-e706-7ef466aa9385"", ""63f2ae24-fc3d-3348-008d-4127610461e3"", ""c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc""]"
63f2ae24-fc3d-3348-008d-4127610461e3,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,Okta,human,robert.johnson@corp.nexusai.com,Robert Johnson,exact_email,100,False,"[""680ac07a-2a93-5d62-3c83-5dc0d9441fa5"", ""dd59ba71-36b8-2481-7b3a-4e3e7c52fa17"", ""2a25a888-0f02-bad0-e706-7ef466aa9385"", ""63f2ae24-fc3d-3348-008d-4127610461e3"", ""c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc""]"
c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,Salesforce,human,robert.johnson@corp.nexusai.com,Robert Johnson,exact_email,100,False,"[""680ac07a-2a93-5d62-3c83-5dc0d9441fa5"", ""dd59ba71-36b8-2481-7b3a-4e3e7c52fa17"", ""2a25a888-0f02-bad0-e706-7ef466aa9385"", ""63f2ae24-fc3d-3348-008d-4127610461e3"", ""c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc""]"
