identity_id,display_name,email,username,platform,account_type,department,job_title,manager_id,created_date,last_login,is_active,is_privileged,mfa_enabled,geo_location,canonical_id
7914c120-c8dc-d19f-3e35-11287900f7f9,Danielle Johnson,danielle.johnson@corp.nexusai.com,djohnson,AD,human,Executive,SVP Finance,,2023-04-12,2026-06-15 00:00:00,True,False,True,EU-Central,7914c120-c8dc-d19f-3e35-11287900f7f9
1825bc54-30be-b45f-6835-14f2ceb81f9d,Danielle Johnson,danielle.johnson@corp.nexusai.com,danielle.johnson@corp.nexusai.com,AzureAD,human,Executive,SVP Finance,,2023-04-12,2026-06-07 00:00:00,True,False,True,EU-Central,7914c120-c8dc-d19f-3e35-11287900f7f9
5ab33edf-6e59-5ed3-a8b3-17fa18d0752b,Danielle Johnson,danielle.johnson@corp.nexusai.com,danielle.johnson@corp.nexusai.com,Okta,human,Executive,SVP Finance,,2023-04-12,2026-06-07 00:00:00,True,False,True,EU-Central,7914c120-c8dc-d19f-3e35-11287900f7f9
dd2467ac-778e-edb3-693d-ffbc6c6fa611,Danielle Johnson,danielle.johnson@corp.nexusai.com,danielle.johnson@nexusai.salesforce.com,Salesforce,human,Executive,SVP Finance,,2023-04-12,2026-06-16 00:00:00,True,False,True,EU-Central,7914c120-c8dc-d19f-3e35-11287900f7f9
a748dbcf-ac61-9e63-0dde-29a6baa4b71a,Joshua Walker,joshua.walker@corp.nexusai.com,jwalker,AD,human,Executive,SVP Finance,,2021-12-26,2026-06-17 00:00:00,True,False,True,US-East,a748dbcf-ac61-9e63-0dde-29a6baa4b71a
0f844fef-1931-e9ee-a56c-0941fbf24050,Joshua Walker,joshua.walker@corp.nexusai.com,joshua.walker@nexusai.onmicrosoft.com,AzureAD,human,Executive,SVP Finance,,2021-12-26,2026-06-09 00:00:00,True,False,False,US-East,a748dbcf-ac61-9e63-0dde-29a6baa4b71a
ccf3a171-56dc-8907-ba6c-34ab6712303a,Joshua Walker,joshua.walker@corp.nexusai.com,joshua.walker@corp.nexusai.com,Okta,human,Executive,SVP Finance,,2021-12-26,2026-06-07 00:00:00,True,False,False,US-East,a748dbcf-ac61-9e63-0dde-29a6baa4b71a
310c0c00-3fa7-f104-1bf9-0e27dc96925e,Jill Rhodes,jill.rhodes@corp.nexusai.com,jrhodes,AD,human,Executive,CEO,,2020-08-05,2026-06-20 00:00:00,True,False,True,EU-Central,310c0c00-3fa7-f104-1bf9-0e27dc96925e
23e2fcb4-72d8-567d-894a-05e430b187ef,Jill Rhodes,jill.rhodes@corp.nexusai.com,jill.rhodes@corp.nexusai.com,AzureAD,human,Executive,CEO,,2020-08-05,2026-06-14 00:00:00,True,False,True,EU-Central,310c0c00-3fa7-f104-1bf9-0e27dc96925e
766ecb15-474e-bc19-2ef9-12766c006f61,Jill Rhodes,jill.rhodes@corp.nexusai.com,jillr,AWS,human,Executive,CEO,,2020-08-05,2026-06-11 00:00:00,True,False,True,EU-Central,310c0c00-3fa7-f104-1bf9-0e27dc96925e
