aad_object_id,user_principal_name,display_name,given_name,surname,email,department,job_title,account_enabled,last_sign_in,created_date_time,on_premises_sync_enabled,on_premises_sam_account_name,assigned_licenses,mfa_registered,tenant_id
1825bc54-30be-b45f-6835-14f2ceb81f9d,danielle.johnson@corp.nexusai.com,Danielle Johnson,Danielle,Johnson,danielle.johnson@corp.nexusai.com,Executive,SVP Finance,True,2026-06-09 00:00:00,2023-04-12,True,djohnson,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
0f844fef-1931-e9ee-a56c-0941fbf24050,joshua.walker@nexusai.onmicrosoft.com,Joshua Walker,Joshua,Walker,joshua.walker@corp.nexusai.com,Executive,SVP Finance,True,2026-06-13 00:00:00,2021-12-26,True,jwalker,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
23e2fcb4-72d8-567d-894a-05e430b187ef,jill.rhodes@corp.nexusai.com,Jill Rhodes,Jill,Rhodes,jill.rhodes@corp.nexusai.com,Executive,CEO,True,2026-06-18 00:00:00,2020-08-05,False,jrhodes,"[""ENTERPRISEPACK""]",False,a1b2c3d4-e5f6-7890-abcd-ef1234567890
a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3,patricia.miller@corp.nexusai.com,Patricia Miller,Patricia,Miller,patricia.miller@corp.nexusai.com,Executive,SVP Finance,True,2026-06-08 00:00:00,2021-07-17,True,,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
dd59ba71-36b8-2481-7b3a-4e3e7c52fa17,robert.johnson@corp.nexusai.com,Robert Johnson,Robert,Johnson,robert.johnson@corp.nexusai.com,Executive,CTO,True,2026-06-14 00:00:00,2023-03-22,True,rjohnson,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
c88a618e-fed4-057d-bb02-6576f512c4c3,jeffery.wagner@corp.nexusai.com,Jeffery Wagner,Jeffery,Wagner,jeffery.wagner@corp.nexusai.com,Executive,CFO,True,2026-06-15 00:00:00,2020-11-02,True,jwagner,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
bc594585-9445-28c0-0ef8-c2d6f7fd5646,anthony.gonzalez@corp.nexusai.com,Anthony Gonzalez,Anthony,Gonzalez,anthony.gonzalez@corp.nexusai.com,Executive,VP Engineering,True,2026-06-09 00:00:00,2021-05-11,False,agonzalez,"[""ENTERPRISEPACK""]",False,a1b2c3d4-e5f6-7890-abcd-ef1234567890
87f7e1fb-da4b-d9ca-eb5c-f46780bacd64,debra.gardner@corp.nexusai.com,Debra Gardner,Debra,Gardner,debra.gardner@corp.nexusai.com,Executive,CISO,True,2026-06-15 00:00:00,2024-05-02,False,dgardner,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
dca02eec-acda-bacc-1165-e21098543881,jeffrey.lawrence@nexusai.onmicrosoft.com,Jeffrey Lawrence,Jeffrey,Lawrence,jeffrey.lawrence@corp.nexusai.com,Engineering,Engineering Manager,True,2026-06-08 00:00:00,2025-02-24,True,jlawrence,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
14fcdd54-9e8f-c965-0a2c-827e98326856,lisa.smith@corp.nexusai.com,Lisa Smith,Lisa,Smith,lisa.smith@corp.nexusai.com,IT-Operations,Infrastructure Engineer,True,2026-06-08 00:00:00,2022-04-25,False,lsmith,"[""ENTERPRISEPACK""]",True,a1b2c3d4-e5f6-7890-abcd-ef1234567890
